sector_score,location_id,score_a,risk_a,score_b,risk_b,risk_c,score_mv,risk_d,risk_e,risk_f,control_risk
3.89,23,0.6,2.508,0.2,0.5,1.0,0.2,0.6759999999999999,0.4,0.0,0.4
3.89,6,0.2,0.0,0.2,0.966,1.0,0.2,0.188,0.4,0.0,0.4
3.89,6,0.2,0.102,0.2,0.046,1.0,0.2,0.0,0.4,0.0,0.4
3.89,6,0.2,0.0,0.6,6.48,3.6,0.6,7.05,0.4,0.0,0.4
3.89,6,0.2,0.0,0.2,0.016,1.0,0.2,0.0,0.4,0.0,0.4
3.89,6,0.2,0.0,0.2,0.166,1.0,0.2,0.59,0.4,0.0,0.4
3.89,7,0.4,0.44,0.4,2.964,1.0,0.6,26.97,0.4,0.0,0.4
3.89,8,0.6,5.1,0.6,7.218,2.2,0.4,3.116,0.4,0.0,0.4
3.89,8,0.6,5.04,0.6,6.63,2.2,0.4,2.9360000000000004,0.4,0.0,0.4
3.89,8,0.6,2.388,0.2,0.198,1.0,0.2,0.386,0.4,0.0,0.4
3.89,8,0.6,3.258,0.6,6.462000000000001,1.0,0.2,0.884,0.4,0.0,0.4
3.89,8,0.6,9.228,0.6,24.084,1.0,0.2,0.192,0.8,0.4,1.2
3.89,8,0.6,3.282,0.4,3.052,1.0,0.6,6.257999999999999,0.4,0.4,0.8
3.89,8,0.4,0.436,0.2,0.07,1.0,0.2,0.0,0.4,0.0,0.4
3.89,8,0.2,0.0,0.2,0.168,1.0,0.2,0.0014,0.4,0.0,0.4
3.89,13,0.4,0.78,0.4,3.6039999999999996,1.0,0.4,3.6,0.4,0.0,0.4
3.89,37,0.6,5.124,0.6,18.977999999999998,1.0,0.6,24.768,0.4,0.4,0.8
3.89,37,0.6,2.508,0.2,0.966,2.2,0.6,8.418,0.4,0.0,0.4
3.89,37,0.4,0.7240000000000001,0.2,0.20600000000000002,1.0,0.2,0.0,0.4,0.0,0.4
3.89,37,0.6,2.9160000000000004,0.6,28.068,2.2,0.6,37.908,0.4,0.0,0.4
3.89,24,0.6,3.7560000000000002,0.6,8.46,1.0,0.6,20.544,0.4,0.4,0.8
3.89,3,0.2,0.004,0.4,2.376,1.0,0.2,0.002,0.4,0.0,0.4
3.89,3,0.6,3.1860000000000004,0.6,13.674000000000001,1.0,0.6,123.11399999999999,0.4,0.4,0.8
3.89,3,0.2,0.188,0.2,0.002,1.0,0.2,0.02,0.4,0.0,0.4
3.89,4,0.6,3.468,0.6,34.751999999999995,1.0,0.6,6.696000000000001,0.4,0.0,0.4
3.89,4,0.6,4.452,0.2,0.44799999999999995,1.0,0.2,0.25,0.4,0.0,0.4
3.89,4,0.2,0.0,0.2,0.22,1.0,0.2,0.0014,0.4,0.0,0.4
3.89,14,0.6,4.11,0.6,19.055999999999997,1.0,0.2,0.292,0.4,0.0,0.4
3.89,14,0.2,0.0,0.2,0.20600000000000002,1.0,0.2,0.0,0.4,0.0,0.4
3.89,37,0.2,0.0,0.2,0.15,1.0,0.4,2.7119999999999997,0.4,0.0,0.4
3.89,37,0.6,1.44,0.6,9.978,1.0,0.2,0.23199999999999998,0.4,0.0,0.4
3.89,5,0.2,0.0,0.2,0.01,1.0,0.6,91.446,0.4,0.0,0.4
3.89,5,0.2,0.0,0.2,0.35200000000000004,1.0,0.2,0.21600000000000003,0.4,0.0,0.4
3.89,5,0.2,0.0,0.2,0.594,1.0,0.2,0.568,0.4,0.0,0.4
3.89,5,0.2,0.0,0.2,0.086,1.0,0.2,0.0,0.4,0.0,0.4
3.89,5,0.2,0.0,0.2,0.188,1.0,0.2,0.18,0.4,0.0,0.4
3.89,20,0.6,5.406000000000001,0.6,11.892000000000001,1.0,0.4,3.8680000000000003,0.4,0.0,0.4
3.89,19,0.2,0.0,0.2,0.01,1.0,0.2,0.0,0.4,0.0,0.4
3.89,19,0.6,7.17,0.6,18.54,1.0,0.6,19.608,0.4,0.0,0.4
3.89,19,0.6,4.782,0.6,10.308,1.0,0.6,561.018,0.4,0.0,0.4
3.89,19,0.2,0.0,0.2,0.742,1.0,0.6,17.778,0.4,0.0,0.4
3.89,19,0.2,0.124,0.2,0.40399999999999997,1.0,0.2,0.022000000000000002,0.4,0.0,0.4
3.89,19,0.2,0.0,0.2,0.45399999999999996,1.0,0.2,0.524,0.4,0.0,0.4
3.89,19,0.2,0.0,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.89,19,0.4,0.528,0.2,0.0,1.0,0.2,0.012,0.4,0.0,0.4
3.89,19,0.2,0.0,0.2,0.20600000000000002,1.0,0.2,0.486,0.4,0.0,0.4
3.89,21,0.2,0.0,0.6,9.228,1.0,0.6,75.678,0.4,0.0,0.4
3.89,21,0.2,0.0,0.2,0.204,1.0,0.2,0.0,0.4,0.0,0.4
3.89,21,0.2,0.0,0.6,12.425999999999998,1.0,0.6,12.474,0.4,1.2,1.6
3.89,22,0.6,1.77,0.4,2.6239999999999997,1.0,0.6,94.152,0.4,0.0,0.4
3.89,22,0.4,0.7879999999999999,0.2,0.42,1.0,0.6,7.374,1.2,0.0,1.2
3.89,22,0.2,0.0,0.6,10.83,1.0,0.2,0.45799999999999996,0.4,0.0,0.4
3.89,22,0.2,0.0,0.2,0.18600000000000003,1.0,0.4,3.112,0.4,0.0,0.4
3.89,9,0.2,0.0,0.2,0.322,1.0,0.2,0.502,0.4,0.0,0.4
3.89,9,0.6,3.792,0.4,3.6039999999999996,1.0,0.4,3.324,0.4,0.0,0.4
3.89,9,0.2,0.0,0.2,0.21,1.0,0.2,0.032,0.4,0.0,0.4
3.89,11,0.2,0.0,0.4,2.72,1.0,0.6,28.74,0.4,0.0,0.4
3.89,11,0.6,8.424,0.6,6.497999999999999,1.0,0.4,3.5639999999999996,0.4,0.0,0.4
3.89,11,0.6,4.002,0.6,10.812000000000001,2.2,0.2,0.99,0.4,1.2,1.6
3.89,11,0.2,0.0,0.2,0.0,1.0,0.2,0.35,0.4,0.0,0.4
3.89,11,0.2,0.0,0.2,0.016,1.0,0.2,0.136,0.4,0.0,0.4
3.89,11,0.4,0.504,0.2,0.01,1.0,0.2,0.0,0.4,0.0,0.4
3.89,12,0.2,0.0,0.2,0.006,1.0,0.2,0.012,0.4,0.0,0.4
3.89,12,0.2,0.0,0.2,0.158,1.0,0.6,9.492,0.4,0.0,0.4
3.89,12,0.6,2.8560000000000003,0.6,7.818,1.0,0.2,0.11599999999999999,0.4,0.4,0.8
3.89,12,0.6,5.2860000000000005,0.4,3.608,1.0,0.6,129.186,0.4,0.4,0.8
3.89,12,0.2,0.0,0.2,0.013999999999999999,1.0,0.2,0.0,0.4,0.0,0.4
3.89,12,0.6,8.352,0.2,0.44,1.0,0.2,0.01,0.4,0.0,0.4
3.89,12,0.4,0.428,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.89,12,0.2,0.0,0.2,0.17800000000000002,1.0,0.2,0.0,0.4,0.0,0.4
3.89,8,0.2,0.0,0.2,0.7959999999999999,3.6,0.6,32.004,0.4,0.0,0.4
3.89,8,0.6,6.0,0.6,44.556000000000004,2.2,0.6,6.696000000000001,0.4,1.8,2.2
3.89,29,0.6,2.544,0.4,3.2239999999999998,1.0,0.6,6.414,0.4,0.0,0.4
3.89,29,0.6,7.362,0.6,43.476000000000006,1.0,0.4,2.276,0.4,0.0,0.4
3.89,29,0.2,0.0,0.2,0.192,1.0,0.2,0.27,0.4,0.0,0.4
3.89,30,0.6,7.62,0.2,0.256,1.0,0.6,7.013999999999999,0.4,0.0,0.4
3.89,38,0.2,0.0,0.6,37.878,1.0,0.6,8.76,0.4,0.4,0.8
3.89,31,0.4,0.7959999999999999,0.6,6.144,1.0,0.6,12.468,0.4,0.0,0.4
3.89,2,0.2,0.01,0.2,0.042,2.2,0.6,61.332,0.4,0.0,0.4
3.89,2,0.2,0.0,0.4,2.948,1.0,0.2,0.14800000000000002,0.4,0.0,0.4
3.89,2,0.2,0.0,0.2,0.7440000000000001,1.0,0.2,0.0,0.4,5.4,5.8
3.89,2,0.6,42.888000000000005,0.6,15.378,1.0,0.6,524.0219999999999,0.4,0.0,0.4
3.89,2,0.2,0.0,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.89,2,0.2,0.14800000000000002,0.2,0.2,1.0,0.2,0.0,0.4,0.0,0.4
3.89,2,0.2,0.0,0.2,0.11599999999999999,1.0,0.2,0.0,0.4,0.0,0.4
3.89,9,0.6,5.0760000000000005,0.6,43.656000000000006,1.0,0.2,0.28,0.8,1.2,2.0
3.89,9,0.2,0.084,0.2,0.013999999999999999,1.0,0.2,0.084,0.4,0.0,0.4
3.89,32,0.2,0.002,0.2,0.258,2.2,0.6,21.912,0.8,0.0,0.8
3.89,32,0.6,4.11,0.6,39.558,2.2,0.4,2.408,0.8,0.0,0.8
3.89,32,0.6,3.222,0.4,3.448,1.0,0.6,10.296,0.8,0.0,0.8
3.89,32,0.6,2.958,0.4,2.616,2.2,0.6,7.746,0.8,0.0,0.8
3.89,32,0.4,0.488,0.2,0.012,1.0,0.2,0.0,0.8,0.0,0.8
3.89,32,0.2,0.0,0.2,0.17,1.0,0.2,0.0,0.8,0.0,0.8
3.89,16,0.6,9.432,0.6,34.764,3.6,0.6,6.474,1.2,0.0,1.2
3.89,16,0.6,2.97,0.6,25.566,1.0,0.2,0.6920000000000001,1.2,0.4,1.6
3.89,16,0.2,0.0,0.2,0.016,1.0,0.2,0.012,1.2,0.0,1.2
3.89,16,0.4,0.47600000000000003,0.6,7.728,1.0,0.2,0.466,1.2,0.0,1.2
3.89,16,0.2,0.0,0.2,0.544,1.0,0.4,2.2319999999999998,1.2,0.0,1.2
3.89,16,0.2,0.0,0.2,0.332,1.0,0.2,0.152,1.2,0.0,1.2
3.89,16,0.6,3.8819999999999997,0.6,7.308,1.0,0.6,15.162,1.2,0.0,1.2
3.89,16,0.4,0.532,0.2,0.0,1.0,0.2,0.04,1.2,0.0,1.2
3.89,16,0.2,0.0,0.2,0.22,1.0,0.2,0.0,1.2,0.0,1.2
3.89,33,0.6,1.5419999999999998,0.2,0.898,1.0,0.4,3.0239999999999996,0.4,0.4,0.8
3.89,15,0.2,0.0,0.2,0.376,1.0,0.2,0.0,0.4,0.0,0.4
3.89,15,0.2,0.154,0.6,10.985999999999999,1.0,0.6,40.218,0.4,0.0,0.4
3.89,15,0.6,3.138,0.4,2.356,1.0,0.6,11.64,0.4,0.0,0.4
3.89,15,0.6,3.9539999999999997,0.6,14.196,1.0,0.6,20.898000000000003,0.4,0.4,0.8
3.89,15,0.6,4.308,0.6,8.777999999999999,1.0,0.6,59.25,0.4,0.0,0.4
3.89,15,0.4,0.4,0.2,0.0,1.0,0.2,0.07200000000000001,0.4,0.0,0.4
3.89,13,0.2,0.0,0.2,0.012,1.0,0.2,0.0,0.4,0.0,0.4
3.89,13,0.6,1.578,0.2,0.51,1.0,0.2,0.0,0.4,0.0,0.4
3.89,13,0.2,0.0,0.2,0.174,1.0,0.2,0.0,0.4,0.0,0.4
3.89,36,0.6,6.5760000000000005,0.6,24.881999999999998,1.0,0.6,21.125999999999998,0.4,0.4,0.8
3.89,6,0.2,0.0,0.2,0.046,1.0,0.2,0.0,0.4,0.0,0.4
3.41,34,0.6,2.55,0.6,27.305999999999997,2.2,0.4,3.28,0.4,0.0,0.4
3.41,18,0.4,0.792,0.6,30.851999999999997,2.2,0.6,12.198,0.4,0.4,0.8
3.41,25,0.4,0.5760000000000001,0.6,17.55,1.0,0.6,21.078000000000003,0.4,0.0,0.4
3.41,39,0.4,0.608,0.6,22.398000000000003,2.2,0.6,38.22,0.4,0.0,0.4
3.41,39,0.6,2.178,0.4,4.34,1.0,0.2,0.055999999999999994,0.4,0.0,0.4
3.41,2,0.4,0.54,0.6,39.81,2.2,0.6,16.278,0.4,1.8,2.2
3.41,39,0.6,5.982,0.6,53.238,1.0,0.6,6.162000000000001,0.4,0.0,0.4
3.41,27,0.4,0.564,0.6,21.695999999999998,1.0,0.6,7.83,1.2,0.0,1.2
3.41,8,0.4,0.792,0.6,40.746,2.2,0.6,11.274000000000001,0.4,0.4,0.8
3.41,11,0.6,6.047999999999999,0.6,13.386,2.2,0.6,10.092,0.4,0.0,0.4
3.41,11,0.4,0.5760000000000001,0.4,3.86,3.9,0.6,6.018,0.4,0.0,0.4
3.41,12,0.6,15.24,0.6,31.044,1.0,0.6,7.602,1.2,1.2,2.4
3.41,12,0.6,1.926,0.6,43.242,1.0,0.6,8.274,1.2,0.4,1.6
3.41,9,0.6,7.367999999999999,0.6,12.372,1.0,0.6,6.096,0.4,0.4,0.8
3.41,9,0.6,4.158,0.6,42.156000000000006,1.0,0.4,3.892,0.4,0.0,0.4
3.41,16,0.6,2.004,0.6,22.554000000000002,1.0,0.6,16.17,0.4,0.0,0.4
3.41,13,0.6,9.396,0.6,44.718,1.0,0.6,17.442,0.4,0.0,0.4
3.41,13,0.6,1.7519999999999998,0.4,2.096,1.0,0.4,3.904,0.4,0.0,0.4
3.41,37,0.2,0.166,0.6,16.836,1.0,0.6,7.986000000000001,0.4,0.0,0.4
3.41,13,0.4,0.7879999999999999,0.6,18.15,1.0,0.2,0.136,0.4,0.0,0.4
3.41,5,0.6,6.0,0.6,28.74,1.0,0.4,3.08,0.4,0.0,0.4
3.41,35,0.6,7.836,0.6,27.252,1.0,0.6,6.24,0.4,0.0,0.4
3.41,38,0.4,0.54,0.6,19.95,2.2,0.6,12.372,0.4,0.0,0.4
3.41,4,0.6,2.478,0.6,10.044,1.0,0.6,26.412,0.4,0.0,0.4
3.41,31,0.6,7.572,0.6,48.036,2.2,0.6,26.118000000000002,0.8,0.0,0.8
3.41,31,0.6,9.816,0.6,24.66,1.0,0.6,7.218,0.8,0.0,0.8
3.41,16,0.6,7.608,0.6,24.6,2.2,0.6,7.127999999999999,0.4,0.0,0.4
3.41,16,0.6,7.037999999999999,0.6,51.522,1.0,0.4,2.784,0.4,0.4,0.8
3.41,22,0.6,3.09,0.6,26.802,2.2,0.6,12.642000000000001,0.4,0.0,0.4
3.41,7,0.6,3.966,0.6,33.372,1.0,0.6,34.296,0.8,0.0,0.8
3.41,8,0.6,4.8180000000000005,0.6,56.658,2.2,0.6,6.39,0.4,1.2,1.6
3.41,8,0.4,0.484,0.6,20.418,1.0,0.4,2.144,0.4,0.0,0.4
3.41,19,0.4,0.6559999999999999,0.6,27.726,1.0,0.2,0.49,0.4,0.0,0.4
3.41,19,0.4,0.484,0.6,26.304000000000002,2.2,0.6,18.965999999999998,0.4,0.0,0.4
3.41,29,0.4,0.44,0.6,52.626000000000005,2.2,0.6,20.592,0.4,0.0,0.4
3.41,29,0.6,2.502,0.6,14.622,1.0,0.2,0.848,0.4,0.0,0.4
3.41,20,0.4,0.43200000000000005,0.6,19.625999999999998,1.0,0.4,3.352,0.4,0.0,0.4
3.41,29,0.6,7.374,0.6,15.444,1.0,0.6,13.26,0.8,0.0,0.8
3.41,32,0.6,7.524,0.6,18.972,1.0,0.6,32.442,0.4,0.0,0.4
3.41,9,0.6,10.356,0.6,26.531999999999996,1.0,0.6,16.608,0.4,0.4,0.8
3.41,30,0.4,0.46,0.6,12.06,3.6,0.6,12.87,0.4,0.0,0.4
3.41,15,0.6,12.024000000000001,0.6,29.34,1.0,0.6,6.654,0.4,0.0,0.4
3.41,15,0.6,7.3020000000000005,0.6,28.2,3.6,0.6,6.084,0.4,0.0,0.4
3.41,40,0.6,6.222,0.6,63.336000000000006,5.4,0.6,31.278000000000002,0.4,0.0,0.4
3.41,41,0.6,5.8020000000000005,0.6,37.35,2.2,0.6,10.212,0.4,0.0,0.4
3.41,42,0.6,2.262,0.6,24.516,1.0,0.6,10.8,0.4,0.0,0.4
3.41,22,0.6,2.838,0.6,36.132,1.0,0.6,41.856,0.4,0.0,0.4
3.41,11,0.6,3.786,0.6,11.652000000000001,2.2,0.6,8.328,0.4,0.0,0.4
3.41,13,0.6,3.366,0.2,0.312,1.0,0.2,0.8059999999999999,0.4,0.0,0.4
3.41,37,0.6,3.1319999999999997,0.6,12.564,1.0,0.2,0.488,0.4,0.0,0.4
3.41,19,0.2,0.062,0.6,34.872,1.0,0.6,47.388000000000005,0.8,0.0,0.8
3.41,15,0.6,1.716,0.6,10.254000000000001,2.2,0.4,2.752,0.4,0.0,0.4
3.41,14,0.6,9.918,0.6,43.794,1.0,0.4,2.1959999999999997,0.4,0.4,0.8
3.41,22,0.6,1.62,0.6,27.096,1.0,0.6,22.674,0.4,0.0,0.4
3.41,8,0.6,1.848,0.6,36.468,1.0,0.2,0.07200000000000001,0.4,0.0,0.4
3.41,32,0.6,1.2,0.6,29.514,1.0,0.6,36.528,0.4,0.4,0.8
3.41,2,0.4,0.47200000000000003,0.2,0.0,2.2,0.6,109.92,0.8,0.0,0.8
3.41,39,0.4,0.428,0.2,0.0,1.0,0.6,6.0120000000000005,0.4,0.0,0.4
3.41,12,0.4,0.428,0.2,0.0,1.0,0.2,0.0,1.2,0.0,1.2
3.41,13,0.4,0.40399999999999997,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,5,0.2,0.18600000000000003,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,4,0.6,2.406,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,32,0.2,0.154,0.2,0.0,1.0,0.2,0.064,0.4,0.0,0.4
3.41,16,0.4,0.42,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,15,0.4,0.40399999999999997,0.2,0.0,1.0,0.2,0.055999999999999994,0.4,0.0,0.4
3.41,19,0.2,0.182,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,8,0.4,0.44799999999999995,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,9,0.2,0.16,0.2,0.0,1.0,0.2,0.036000000000000004,0.4,0.0,0.4
3.41,22,0.2,0.13,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,29,0.2,0.126,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,6,0.2,0.086,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,11,0.4,0.484,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,31,0.2,0.034,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,18,0.2,0.0,0.2,0.0,1.0,0.2,0.0,0.8,0.0,0.8
3.41,14,0.2,0.0,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
3.41,36,0.2,0.013999999999999999,0.2,0.0,1.0,0.2,0.0,0.4,0.0,0.4
2.72,18,0.6,3.0660000000000003,0.6,32.256,3.6,0.6,29.136,0.4,1.2,1.6
2.72,39,0.6,1.476,0.4,2.688,1.0,0.2,0.0,0.4,0.0,0.4
2.72,39,0.6,2.43,0.6,12.995999999999999,2.2,0.6,11.07,0.4,0.0,0.4
2.72,39,0.6,1.686,0.2,0.92,1.0,0.4,3.3760000000000003,0.4,0.0,0.4
2.72,25,0.6,2.658,0.6,36.882,2.2,0.6,23.79,0.4,0.0,0.4
2.72,39,0.6,2.088,0.6,10.71,1.0,0.4,3.812,0.4,0.0,0.4
2.72,8,0.6,2.1719999999999997,0.6,26.568,1.0,0.6,26.802,0.4,0.0,0.4
2.72,8,0.6,2.6039999999999996,0.6,14.478,1.0,0.2,0.684,0.4,0.0,0.4
2.72,12,0.6,2.1719999999999997,0.4,3.3480000000000003,1.0,0.2,0.0,0.4,0.0,0.4
2.72,11,0.6,1.8659999999999999,0.6,68.382,2.2,0.6,15.984000000000002,0.4,0.0,0.4
2.72,9,0.4,0.66,0.6,12.515999999999998,1.0,0.6,10.146,0.4,0.0,0.4
2.72,12,0.6,2.0580000000000003,0.2,0.306,1.0,0.2,0.0,0.4,0.0,0.4
2.72,9,0.6,2.3040000000000003,0.6,59.202,1.0,0.6,7.74,0.4,0.0,0.4
2.72,12,0.6,4.452,0.6,69.52199999999999,3.6,0.4,2.716,0.4,0.4,0.8
2.72,12,0.6,4.242,0.6,21.288,1.0,0.4,3.5039999999999996,0.4,0.0,0.4
2.72,2,0.6,1.956,0.4,2.22,1.0,0.2,0.042,1.2,0.0,1.2
2.72,13,0.6,2.3040000000000003,0.6,86.634,1.0,0.6,11.808,0.8,0.4,1.2
2.72,13,0.6,3.3,0.6,55.956,1.0,0.6,8.562000000000001,0.4,0.0,0.4
2.72,5,0.4,0.76,0.6,21.024,3.9,0.6,9.714,0.4,0.0,0.4
2.72,5,0.6,2.1,0.6,9.654,1.0,0.4,2.012,0.4,0.0,0.4
2.72,5,0.4,0.584,0.2,0.15,1.0,0.2,0.022000000000000002,0.4,0.0,0.4
2.72,38,0.6,2.76,0.6,32.994,1.0,0.6,8.46,0.4,0.0,0.4
2.72,5,0.6,4.458,0.6,47.7,1.0,0.6,61.434,0.4,0.0,0.4
2.72,11,0.6,2.106,0.6,31.734,1.0,0.2,0.852,0.4,0.0,0.4
2.72,4,0.6,3.39,0.6,40.296,3.6,0.6,16.338,0.4,0.0,0.4
2.72,4,0.4,0.532,0.2,0.07,1.0,0.2,0.0,0.4,0.0,0.4
2.72,31,0.6,3.27,0.6,42.653999999999996,2.2,0.6,35.508,0.4,0.0,0.4
2.72,4,0.4,0.6920000000000001,0.4,2.256,1.0,0.6,8.01,0.4,0.0,0.4
2.72,16,0.6,3.612,0.6,81.414,3.6,0.6,53.784,0.8,0.0,0.8
2.72,22,0.6,1.932,0.6,33.384,1.0,0.6,48.48,0.8,0.0,0.8
2.72,16,0.6,1.446,0.4,2.112,1.0,0.4,3.58,0.8,0.0,0.8
2.72,16,0.6,1.704,0.6,38.946,2.2,0.6,74.75399999999999,0.8,0.0,0.8
2.72,16,0.4,0.7,0.2,0.114,1.0,0.2,0.0,0.8,0.0,0.8
2.72,16,0.6,1.308,0.6,18.486,1.0,0.4,2.32,0.8,0.0,0.8
2.72,16,0.6,1.956,0.2,0.562,3.6,0.6,12.96,0.8,0.0,0.8
2.72,40,0.6,2.658,0.6,30.791999999999998,2.2,0.6,87.58200000000001,0.4,0.0,0.4
2.72,8,0.6,3.366,0.6,59.598,3.9,0.6,45.882,0.4,0.0,0.4
2.72,19,0.6,2.34,0.6,16.752,1.0,0.6,28.56,0.4,0.0,0.4
2.72,19,0.6,1.314,0.2,0.136,1.0,0.6,17.04,0.4,0.0,0.4
2.72,19,0.4,0.624,0.4,5.856,1.0,0.6,15.582,0.4,0.0,0.4
2.72,14,0.6,2.718,0.6,52.758,1.0,0.6,51.486000000000004,0.4,0.0,0.4
2.72,20,0.6,2.9819999999999998,0.6,25.314,2.2,0.6,27.221999999999998,0.4,0.0,0.4
2.72,19,0.6,1.278,0.2,0.11800000000000001,1.0,0.2,0.152,0.4,0.0,0.4
2.72,19,0.6,2.1959999999999997,0.6,9.282,1.0,0.2,0.28600000000000003,0.4,0.0,0.4
2.72,19,0.4,0.6559999999999999,0.2,0.038,1.0,0.2,0.318,0.4,0.0,0.4
2.72,29,0.6,2.94,0.6,59.226000000000006,2.2,0.6,49.794,0.4,0.4,0.8
2.72,32,0.6,3.408,0.6,40.428000000000004,1.0,0.6,52.02,0.4,0.4,0.8
2.72,9,0.6,2.394,0.6,55.23,1.0,0.6,9.084,0.4,0.4,0.8
2.72,30,0.6,2.082,0.6,28.241999999999997,1.0,0.6,18.828,0.4,0.0,0.4
2.72,15,0.6,1.608,0.6,22.991999999999997,1.0,0.4,2.8680000000000003,0.4,0.0,0.4
2.72,15,0.6,1.278,0.6,25.584,1.0,0.6,10.944,0.4,0.0,0.4
2.72,2,0.6,2.568,0.6,758.778,2.2,0.6,35.316,1.2,1.2,2.4
2.72,1,0.6,2.616,0.6,20.346,2.2,0.4,2.424,2.4,0.0,2.4
2.72,2,0.6,1.338,0.2,0.9079999999999999,1.0,0.6,13.68,1.2,0.0,1.2
2.72,12,0.6,1.2,0.2,0.064,1.0,0.4,2.148,0.4,0.0,0.4
2.72,7,0.6,1.824,0.6,40.422,3.9,0.6,46.482,0.4,0.0,0.4
2.72,22,0.4,0.47600000000000003,0.6,73.242,1.0,0.6,9.12,0.4,0.0,0.4
2.72,1,0.4,0.54,0.2,0.0,3.6,0.6,408.084,0.4,0.0,0.4
